0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.0000001,0.98334056,0.97986704,0.9922876,0.9804241,0.9844251,0.9892749,0.988687,0.97688574,0.9885912,0.9808129,0.9767649,0.9526568,0.97331125,0.9669034,0.98759234,0.9835791,0.9765608,0.9911267,0.960032,0.95941055,0.9938158,0.9892117,0.96785104,0.98692423,0.99069685
0.98334056,1.0000001,0.9663927,0.98113495,0.96788067,0.9791489,0.9809433,0.9898162,0.96824646,0.98176247,0.9669816,0.96290135,0.9369374,0.9613453,0.9557157,0.98037577,0.96636236,0.971518,0.99166524,0.9404316,0.9401151,0.9835653,0.99045783,0.976072,0.99259007,0.98955464
0.97986704,0.9663927,1.0,0.9795767,0.99480474,0.9897904,0.99059534,0.9750533,0.9897938,0.98670644,0.99493,0.9892628,0.97631055,0.9905643,0.9822561,0.98955274,0.9902761,0.9849386,0.9805796,0.98624,0.9853327,0.986965,0.9840745,0.9310603,0.97133017,0.98067033
0.9922876,0.98113495,0.9795767,1.0000004,0.98342246,0.9872691,0.9872492,0.98796535,0.97702914,0.98640525,0.9807135,0.97850007,0.9510031,0.97209084,0.96394676,0.99008304,0.9827637,0.9768434,0.9908147,0.96166694,0.9639751,0.99535936,0.9916932,0.9655906,0.9876654,0.98932004
0.9804241,0.96788067,0.99480474,0.98342246,1.0000005,0.99191236,0.9915177,0.97849774,0.99361897,0.98804057,0.9957656,0.99113554,0.9820948,0.9933721,0.9887958,0.99325514,0.9897687,0.9885242,0.98311836,0.9908371,0.9904276,0.98998773,0.98666734,0.92942554,0.9739178,0.98122686
0.9844251,0.9791489,0.9897904,0.9872691,0.99191236,1.0000001,0.9909686,0.984665,0.99172455,0.98670405,0.9903003,0.9874982,0.9679859,0.98561174,0.97887033,0.9914732,0.991419,0.9908571,0.98756844,0.9791862,0.9779552,0.9889024,0.99251014,0.9493322,0.9856315,0.9898173
0.9892749,0.9809433,0.99059534,0.9872492,0.9915177,0.9909686,1.0000002,0.98771,0.9900697,0.99171716,0.9914951,0.9881205,0.9743267,0.98809755,0.9839511,0.9923237,0.9865442,0.9858995,0.9910108,0.9792423,0.9795449,0.99354416,0.99107605,0.94898176,0.9837977,0.9901301
0.988687,0.9898162,0.9750533,0.98796535,0.97849774,0.984665,0.98771,0.99999994,0.97838145,0.9811068,0.97899777,0.9803058,0.95852184,0.97339785,0.9717615,0.9867796,0.9759231,0.98056006,0.99047726,0.96048206,0.961563,0.9876147,0.9897734,0.9650004,0.98863995,0.98649603
0.97688574,0.96824646,0.9897938,0.97702914,0.99361897,0.99172455,0.9900697,0.97838145,0.9999997,0.98335034,0.99307215,0.99367815,0.98327446,0.9952396,0.988989,0.99071574,0.9896534,0.99272007,0.9822446,0.98728955,0.98877555,0.9852426,0.9836962,0.93005973,0.97437114,0.9804605
0.9885912,0.98176247,0.98670644,0.98640525,0.98804057,0.98670405,0.99171716,0.9811068,0.98335034,1.0000006,0.9839649,0.9820154,0.9639758,0.98380214,0.9762375,0.9922257,0.98056835,0.9844679,0.9916615,0.970704,0.9709815,0.99457324,0.9886172,0.94724375,0.98023635,0.9862065
0.9808129,0.9669816,0.99493,0.9807135,0.9957656,0.9903003,0.9914951,0.97899777,0.99307215,0.9839649,1.0,0.99122524,0.98259115,0.99332005,0.98683363,0.9897806,0.99095726,0.98855054,0.9813229,0.98815703,0.9896108,0.9869118,0.9859548,0.9285284,0.97331494,0.9803846
0.9767649,0.96290135,0.9892628,0.97850007,0.99113554,0.9874982,0.9881205,0.9803058,0.99367815,0.9820154,0.99122524,0.9999999,0.9859347,0.9937774,0.9891939,0.9907516,0.9852413,0.99092424,0.97997236,0.98827606,0.98895854,0.98478574,0.97850263,0.9249958,0.96718836,0.97330385
0.9526568,0.9369374,0.97631055,0.9510031,0.9820948,0.9679859,0.9743267,0.95852184,0.98327446,0.9639758,0.98259115,0.9859347,1.0000001,0.9888931,0.9929806,0.9741465,0.96550685,0.97720844,0.9564586,0.99222565,0.98865086,0.9622924,0.9560099,0.8784722,0.93832064,0.94821805
0.97331125,0.9613453,0.9905643,0.97209084,0.9933721,0.98561174,0.98809755,0.97339785,0.9952396,0.98380214,0.99332005,0.9937774,0.9888931,1.0000002,0.9933471,0.9884525,0.9847141,0.9900918,0.97727954,0.9922763,0.9925192,0.9826727,0.9782076,0.91631526,0.9647782,0.9729337
0.9669034,0.9557157,0.9822561,0.96394676,0.9887958,0.97887033,0.9839511,0.9717615,0.988989,0.9762375,0.98683363,0.9891939,0.9929806,0.9933471,1.0,0.9851189,0.9743775,0.9831318,0.9687753,0.9911995,0.9875692,0.9750449,0.9705609,0.9011001,0.9552085,0.9635403
0.98759234,0.98037577,0.98955274,0.99008304,0.99325514,0.9914732,0.9923237,0.9867796,0.99071574,0.9922257,0.9897806,0.9907516,0.9741465,0.9884525,0.9851189,1.0000001,0.9857002,0.9880712,0.9912391,0.980107,0.979343,0.994212,0.9898288,0.9451149,0.9801711,0.9850946
0.9835791,0.96636236,0.9902761,0.9827637,0.9897687,0.991419,0.9865442,0.9759231,0.9896534,0.98056835,0.99095726,0.9852413,0.96550685,0.9847141,0.9743775,0.9857002,1.0000001,0.9841988,0.9794738,0.97779334,0.9780979,0.98615956,0.98721,0.94517374,0.9788331,0.9857396
